Country/Territory,Total Cases,New Cases,Total Deaths,New Deaths
China,24 363,3893,491,66
Japan,33,13,0,0
Republic of Korea,18,2,0,0
Viet Nam 10,1,0,0
Singapore 24,6,0,0
Australia 13,1,0,0
Malaysia 10,0,0,0
Cambodia 1,0,0,0
Philippines 3,1,1,0
Thailand 25,6,0,0
Nepal 1,0,0,0
Sri Lanka 1,0,0,0
India 3,0,0,0
The United States of America, 11,0,0,0
Canada,5,1,0,0
France,6,0,0,0
Finland,1,0,0,0
Germany,12,0,0,0
Italy,2,0,0,0
Russian Federation,2,0,0,0
Spain,1,0,0,0
Sweden,1,0,0,0
The United Kingdom,2,0,0,0
Belgium,1,1,0,0
United Arab Emirates,5,0,0,0
