Country/Territory,Total Cases,New Cases,Total Deaths,New Deaths
China ,79394,435,2838,47
Republic of Korea ,3150,813,17,4
Japan ,230,20,5,1
Singapore ,98,2,0,0
Australia ,24,1,0,0
Malaysia ,24,0,0,0
Viet Nam ,16,0,0,0
Philippines ,3,0,1,0
Cambodia ,1,0,0,0
New Zealand ,1,0,0,0
Italy ,888,238,21,4
Germany ,57,31,0,0
France ,57,19,2,0
Spain ,32,7,0,0
The United Kingdom ,20,4,0,0
Sweden ,12,5,0,0
Switzerland ,10,4,0,0
Norway ,6,2,0,0
Croatia ,5,2,0,0
Israel ,5,2,0,0
Austria ,5,1,0,0
Romania ,3,2,0,0
Greece ,3,0,0,0
Denmark ,2,1,0,0
Georgia ,2,1,0,0
Netherlands ,2,1,0,0
Finland ,2,0,0,0
Russian Federation ,2,0,0,0
San Marino ,1,1,0,0
North Macedonia ,1,0,0,0
Estonia ,1,0,0,0
Lithuania ,1,0,0,0
Belarus ,1,0,0,0
Belgium ,1,0,0,0
Thailand ,42,2,0,0
India ,3,0,0,0
Nepal ,1,0,0,0
Sri Lanka ,1,0,0,0
Iran (Islamic Republic of) ,388,143,34,8
Kuwait ,45,2,0,0
Bahrain ,38,5,0,0
United Arab Emirates ,19,0,0,0
Iraq ,8,1,0,0
Oman ,6,0,0,0
Lebanon ,2,0,0,0
Pakistan ,2,0,0,0
Afghanistan ,1,0,0,0
Egypt ,1,0,0,0
United States of America ,62,3,0,0
Canada ,14,3,0,0
Mexico ,2,2,0,0
Brazil ,1,0,0,0
Algeria ,1,0,0,0
Nigeria ,1,0,0,0
International conveyance (Japan) ,705,0,6,2
